# started 2026-08-31 23:40:28
23:41:08 | limit=  5 | trial  17 | gates= 250 |   39.2s | overall 1/1000
23:41:50 | limit=  5 | trial  29 | gates= 254 |   41.5s | overall 29/1000
23:41:50 | limit=  5 | trial  34 | gates= 250 |   40.8s | overall 30/1000
23:41:50 | limit=  5 | trial  30 | gates= 250 |   41.8s | overall 31/1000
23:41:51 | limit=  5 | trial  33 | gates= 252 |   41.3s | overall 32/1000
23:41:51 | limit=  5 | trial  31 | gates= 252 |   42.5s | overall 33/1000
23:41:52 | limit=  5 | trial  37 | gates= 252 |   41.5s | overall 34/1000
23:41:53 | limit=  5 | trial  38 | gates= 250 |   41.9s | overall 35/1000
23:41:53 | limit=  5 | trial  41 | gates= 248 |   41.6s | overall 36/1000
23:41:53 | limit=  5 | trial  43 | gates= 250 |   41.2s | overall 37/1000
23:41:54 | limit=  5 | trial  46 | gates= 252 |   40.2s | overall 38/1000
23:41:54 | limit=  5 | trial  36 | gates= 250 |   43.5s | overall 39/1000
23:41:54 | limit=  5 | trial  40 | gates= 250 |   43.1s | overall 40/1000
23:41:54 | limit=  5 | trial  39 | gates= 250 |   43.7s | overall 41/1000
23:41:56 | limit=  5 | trial  32 | gates= 252 |   46.7s | overall 42/1000
23:41:56 | limit=  5 | trial  42 | gates= 250 |   43.9s | overall 43/1000
23:41:56 | limit=  5 | trial  48 | gates= 252 |   42.2s | overall 44/1000
23:41:56 | limit=  5 | trial  44 | gates= 250 |   43.3s | overall 45/1000
23:41:57 | limit=  5 | trial  53 | gates= 248 |   41.5s | overall 46/1000
23:41:57 | limit=  5 | trial  35 | gates= 248 |   47.6s | overall 47/1000
23:41:57 | limit=  5 | trial  45 | gates= 250 |   44.2s | overall 48/1000
23:42:00 | limit=  5 | trial  52 | gates= 250 |   44.3s | overall 49/1000
23:42:01 | limit=  5 | trial  51 | gates= 252 |   45.5s | overall 50/1000
23:42:01 | limit=  5 | trial  47 | gates= 252 |   47.4s | overall 51/1000
23:42:02 | limit=  5 | trial  49 | gates= 250 |   47.6s | overall 52/1000
23:42:03 | limit=  5 | trial  50 | gates= 242 |   48.0s | overall 53/1000
23:42:03 | limit=  5 | trial  54 | gates= 250 |   47.4s | overall 54/1000
23:42:04 | limit=  5 | trial  55 | gates= 246 |   47.8s | overall 55/1000
23:42:04 | limit=  5 | trial  56 | gates= 248 |   47.9s | overall 56/1000
23:42:31 | limit=  5 | trial  59 | gates= 248 |   40.9s | overall 57/1000
23:42:32 | limit=  5 | trial  57 | gates= 248 |   41.9s | overall 58/1000
23:42:32 | limit=  5 | trial  58 | gates= 250 |   41.6s | overall 59/1000
23:42:32 | limit=  5 | trial  61 | gates= 250 |   41.1s | overall 60/1000
23:42:33 | limit=  5 | trial  60 | gates= 250 |   42.4s | overall 61/1000
23:42:35 | limit=  5 | trial  62 | gates= 250 |   42.9s | overall 62/1000
23:42:35 | limit=  5 | trial  64 | gates= 248 |   42.0s | overall 63/1000
23:42:36 | limit=  5 | trial  70 | gates= 248 |   40.6s | overall 64/1000
23:42:36 | limit=  5 | trial  63 | gates= 252 |   43.7s | overall 65/1000
23:42:37 | limit=  5 | trial  71 | gates= 248 |   41.1s | overall 66/1000
23:42:37 | limit=  5 | trial  68 | gates= 252 |   43.1s | overall 67/1000
23:42:37 | limit=  5 | trial  67 | gates= 250 |   43.5s | overall 68/1000
23:42:38 | limit=  5 | trial  69 | gates= 250 |   43.1s | overall 69/1000
23:42:39 | limit=  5 | trial  72 | gates= 252 |   42.5s | overall 70/1000
23:42:40 | limit=  5 | trial  73 | gates= 250 |   43.6s | overall 71/1000
23:42:40 | limit=  5 | trial  74 | gates= 250 |   43.2s | overall 72/1000
23:42:41 | limit=  5 | trial  65 | gates= 248 |   47.7s | overall 73/1000
23:42:41 | limit=  5 | trial  66 | gates= 252 |   47.3s | overall 74/1000
23:42:43 | limit=  5 | trial  78 | gates= 250 |   42.1s | overall 75/1000
23:42:44 | limit=  5 | trial  79 | gates= 252 |   42.6s | overall 76/1000
23:42:45 | limit=  5 | trial  76 | gates= 250 |   47.2s | overall 77/1000
23:42:45 | limit=  5 | trial  75 | gates= 250 |   47.7s | overall 78/1000
23:42:47 | limit=  5 | trial  77 | gates= 248 |   47.2s | overall 79/1000
23:42:47 | limit=  5 | trial  82 | gates= 248 |   44.1s | overall 80/1000
23:42:49 | limit=  5 | trial  84 | gates= 248 |   45.1s | overall 81/1000
23:42:49 | limit=  5 | trial  81 | gates= 250 |   46.1s | overall 82/1000
23:42:50 | limit=  5 | trial  80 | gates= 252 |   47.7s | overall 83/1000
23:42:51 | limit=  5 | trial  83 | gates= 242 |   47.9s | overall 84/1000
23:43:12 | limit=  5 | trial  85 | gates= 250 |   40.8s | overall 85/1000
23:43:13 | limit=  5 | trial  89 | gates= 252 |   40.3s | overall 86/1000
23:43:15 | limit=  5 | trial  88 | gates= 252 |   42.1s | overall 87/1000
23:43:15 | limit=  5 | trial  90 | gates= 248 |   40.6s | overall 88/1000
23:43:16 | limit=  5 | trial  86 | gates= 250 |   44.0s | overall 89/1000
23:43:17 | limit=  5 | trial  91 | gates= 242 |   42.1s | overall 90/1000
23:43:17 | limit=  5 | trial  87 | gates= 252 |   44.9s | overall 91/1000
23:43:19 | limit=  5 | trial  92 | gates= 250 |   42.6s | overall 92/1000
23:43:19 | limit=  5 | trial  93 | gates= 252 |   42.6s | overall 93/1000
23:43:20 | limit=  5 | trial  96 | gates= 250 |   42.5s | overall 94/1000
23:43:21 | limit=  5 | trial  94 | gates= 250 |   44.0s | overall 95/1000
23:43:22 | limit=  5 | trial  97 | gates= 252 |   44.2s | overall 96/1000
23:43:22 | limit=  5 | trial  98 | gates= 252 |   43.4s | overall 97/1000
23:43:24 | limit= 10 | trial   3 | gates= 242 |   41.0s | overall 98/1000
23:43:24 | limit=  5 | trial  95 | gates= 248 |   47.1s | overall 99/1000
23:43:25 | limit=  5 | trial 100 | gates= 244 |   44.5s | overall 100/1000
23:43:25 | limit= 10 | trial   4 | gates= 244 |   41.1s | overall 101/1000
23:43:27 | limit= 10 | trial   8 | gates= 246 |   40.3s | overall 102/1000
23:43:28 | limit=  5 | trial  99 | gates= 248 |   47.7s | overall 103/1000
23:43:33 | limit= 10 | trial   1 | gates= 246 |   47.7s | overall 104/1000
23:43:33 | limit= 10 | trial   2 | gates= 246 |   47.7s | overall 105/1000
23:43:33 | limit= 10 | trial   6 | gates= 242 |   45.7s | overall 106/1000
23:43:33 | limit= 10 | trial   7 | gates= 246 |   43.9s | overall 107/1000
23:43:33 | limit= 10 | trial   5 | gates= 240 |   46.5s | overall 108/1000
23:43:33 | limit= 10 | trial   9 | gates= 244 |   43.1s | overall 109/1000
23:43:34 | limit= 10 | trial  10 | gates= 246 |   45.1s | overall 110/1000
23:43:38 | limit= 10 | trial  11 | gates= 244 |   47.7s | overall 111/1000
23:43:39 | limit= 10 | trial  12 | gates= 242 |   48.0s | overall 112/1000
23:43:54 | limit= 10 | trial  13 | gates= 246 |   41.5s | overall 113/1000
23:43:56 | limit= 10 | trial  16 | gates= 242 |   40.5s | overall 114/1000
23:43:56 | limit= 10 | trial  14 | gates= 246 |   43.1s | overall 115/1000
23:43:58 | limit= 10 | trial  17 | gates= 246 |   42.2s | overall 116/1000
23:43:58 | limit= 10 | trial  15 | gates= 244 |   43.4s | overall 117/1000
23:43:59 | limit= 10 | trial  18 | gates= 248 |   42.2s | overall 118/1000
23:44:01 | limit= 10 | trial  19 | gates= 240 |   44.1s | overall 119/1000
23:44:02 | limit= 10 | trial  21 | gates= 244 |   42.9s | overall 120/1000
23:44:04 | limit= 10 | trial  24 | gates= 244 |   42.2s | overall 121/1000
23:44:05 | limit= 10 | trial  20 | gates= 246 |   46.5s | overall 122/1000
23:44:05 | limit= 10 | trial  26 | gates= 246 |   41.5s | overall 123/1000
23:44:05 | limit= 10 | trial  22 | gates= 244 |   45.8s | overall 124/1000
23:44:06 | limit= 10 | trial  25 | gates= 246 |   44.5s | overall 125/1000
23:44:07 | limit= 10 | trial  27 | gates= 244 |   43.0s | overall 126/1000
23:44:08 | limit= 10 | trial  29 | gates= 246 |   42.9s | overall 127/1000
23:44:09 | limit= 10 | trial  23 | gates= 244 |   47.7s | overall 128/1000
23:44:11 | limit= 10 | trial  30 | gates= 244 |   43.8s | overall 129/1000
23:44:11 | limit= 10 | trial  36 | gates= 244 |   40.3s | overall 130/1000
23:44:12 | limit= 10 | trial  28 | gates= 246 |   47.7s | overall 131/1000
23:44:13 | limit= 10 | trial  35 | gates= 242 |   42.3s | overall 132/1000
23:44:14 | limit= 10 | trial  34 | gates= 248 |   42.8s | overall 133/1000
23:44:14 | limit= 10 | trial  31 | gates= 244 |   46.4s | overall 134/1000
23:44:14 | limit= 10 | trial  37 | gates= 242 |   42.6s | overall 135/1000
23:44:16 | limit= 10 | trial  32 | gates= 242 |   47.7s | overall 136/1000
23:44:16 | limit= 10 | trial  33 | gates= 246 |   47.7s | overall 137/1000
23:44:18 | limit= 10 | trial  38 | gates= 246 |   43.8s | overall 138/1000
23:44:21 | limit= 10 | trial  39 | gates= 248 |   43.1s | overall 139/1000
23:44:27 | limit= 10 | trial  40 | gates= 246 |   47.8s | overall 140/1000
23:44:37 | limit= 10 | trial  43 | gates= 244 |   40.9s | overall 141/1000
23:44:38 | limit= 10 | trial  42 | gates= 244 |   42.2s | overall 142/1000
23:44:38 | limit= 10 | trial  44 | gates= 244 |   40.3s | overall 143/1000
23:44:38 | limit= 10 | trial  41 | gates= 246 |   44.8s | overall 144/1000
23:44:41 | limit= 10 | trial  46 | gates= 248 |   42.1s | overall 145/1000
23:44:41 | limit= 10 | trial  47 | gates= 246 |   40.3s | overall 146/1000
23:44:43 | limit= 10 | trial  45 | gates= 248 |   44.6s | overall 147/1000
23:44:46 | limit= 10 | trial  48 | gates= 246 |   44.2s | overall 148/1000
23:44:48 | limit= 10 | trial  51 | gates= 240 |   42.3s | overall 149/1000
23:44:48 | limit= 10 | trial  49 | gates= 244 |   44.2s | overall 150/1000
23:44:49 | limit= 10 | trial  54 | gates= 244 |   41.7s | overall 151/1000
23:44:50 | limit= 10 | trial  52 | gates= 246 |   44.7s | overall 152/1000
23:44:53 | limit= 10 | trial  50 | gates= 246 |   47.6s | overall 153/1000
23:44:53 | limit= 10 | trial  58 | gates= 246 |   41.7s | overall 154/1000
23:44:54 | limit= 10 | trial  62 | gates= 246 |   39.9s | overall 155/1000
23:44:54 | limit= 10 | trial  53 | gates= 242 |   47.7s | overall 156/1000
23:44:55 | limit= 10 | trial  57 | gates= 246 |   43.9s | overall 157/1000
23:44:55 | limit= 10 | trial  55 | gates= 242 |   47.7s | overall 158/1000
23:44:56 | limit= 10 | trial  61 | gates= 244 |   42.3s | overall 159/1000
23:44:56 | limit= 10 | trial  56 | gates= 242 |   47.6s | overall 160/1000
23:44:57 | limit= 10 | trial  63 | gates= 246 |   42.6s | overall 161/1000
23:44:57 | limit= 10 | trial  60 | gates= 248 |   43.9s | overall 162/1000
23:45:00 | limit= 10 | trial  59 | gates= 246 |   47.6s | overall 163/1000
23:45:03 | limit= 10 | trial  66 | gates= 242 |   44.7s | overall 164/1000
23:45:04 | limit= 10 | trial  67 | gates= 242 |   43.1s | overall 165/1000
23:45:04 | limit= 10 | trial  65 | gates= 242 |   47.6s | overall 166/1000
23:45:04 | limit= 10 | trial  64 | gates= 244 |   47.7s | overall 167/1000
23:45:15 | limit= 10 | trial  68 | gates= 246 |   48.0s | overall 168/1000
23:45:17 | limit= 10 | trial  70 | gates= 242 |   39.5s | overall 169/1000
23:45:18 | limit= 10 | trial  69 | gates= 244 |   40.9s | overall 170/1000
23:45:19 | limit= 10 | trial  71 | gates= 246 |   41.1s | overall 171/1000
23:45:21 | limit= 10 | trial  72 | gates= 246 |   43.1s | overall 172/1000
23:45:24 | limit= 10 | trial  75 | gates= 244 |   41.3s | overall 173/1000
23:45:24 | limit= 10 | trial  73 | gates= 240 |   42.8s | overall 174/1000
23:45:26 | limit= 10 | trial  74 | gates= 242 |   44.2s | overall 175/1000
23:45:28 | limit= 10 | trial  77 | gates= 246 |   40.2s | overall 176/1000
23:45:28 | limit= 10 | trial  76 | gates= 244 |   42.2s | overall 177/1000
23:45:31 | limit= 10 | trial  78 | gates= 244 |   42.9s | overall 178/1000
23:45:31 | limit= 10 | trial  79 | gates= 246 |   42.6s | overall 179/1000
23:45:34 | limit= 10 | trial  80 | gates= 244 |   44.2s | overall 180/1000
23:45:37 | limit= 10 | trial  83 | gates= 244 |   43.1s | overall 181/1000
23:45:38 | limit= 10 | trial  82 | gates= 244 |   44.5s | overall 182/1000
23:45:38 | limit= 10 | trial  87 | gates= 244 |   42.3s | overall 183/1000
23:45:38 | limit= 10 | trial  89 | gates= 248 |   41.3s | overall 184/1000
23:45:39 | limit= 10 | trial  90 | gates= 246 |   42.4s | overall 185/1000
23:45:40 | limit= 10 | trial  85 | gates= 246 |   45.1s | overall 186/1000
23:45:41 | limit= 10 | trial  81 | gates= 244 |   47.5s | overall 187/1000
23:45:41 | limit= 10 | trial  84 | gates= 246 |   46.5s | overall 188/1000
23:45:43 | limit= 10 | trial  86 | gates= 246 |   47.8s | overall 189/1000
23:45:44 | limit= 10 | trial  88 | gates= 246 |   47.6s | overall 190/1000
23:45:45 | limit= 10 | trial  92 | gates= 246 |   42.2s | overall 191/1000
23:45:48 | limit= 10 | trial  91 | gates= 242 |   47.7s | overall 192/1000
23:45:48 | limit= 10 | trial  95 | gates= 246 |   44.1s | overall 193/1000
23:45:49 | limit= 10 | trial  93 | gates= 244 |   45.0s | overall 194/1000
23:45:50 | limit= 10 | trial  94 | gates= 238 |   46.3s | overall 195/1000
23:46:00 | limit= 10 | trial  97 | gates= 246 |   42.1s | overall 196/1000
23:46:01 | limit= 10 | trial 100 | gates= 246 |   39.8s | overall 197/1000
23:46:03 | limit= 10 | trial  98 | gates= 242 |   44.5s | overall 198/1000
23:46:03 | limit= 10 | trial  96 | gates= 244 |   47.7s | overall 199/1000
23:46:03 | limit= 10 | trial  99 | gates= 244 |   44.0s | overall 200/1000
23:46:08 | limit= 15 | trial   2 | gates= 240 |   43.9s | overall 201/1000
23:46:08 | limit= 15 | trial   1 | gates= 238 |   44.5s | overall 202/1000
23:46:11 | limit= 15 | trial   5 | gates= 240 |   43.1s | overall 203/1000
23:46:12 | limit= 15 | trial   6 | gates= 240 |   40.9s | overall 204/1000
23:46:12 | limit= 15 | trial   3 | gates= 242 |   46.7s | overall 205/1000
23:46:13 | limit= 15 | trial   4 | gates= 236 |   45.0s | overall 206/1000
23:46:14 | limit= 15 | trial   7 | gates= 240 |   42.3s | overall 207/1000
23:46:16 | limit= 15 | trial   8 | gates= 240 |   41.8s | overall 208/1000
23:46:20 | limit= 15 | trial  10 | gates= 242 |   42.5s | overall 209/1000
23:46:21 | limit= 15 | trial   9 | gates= 238 |   44.5s | overall 210/1000
23:46:22 | limit= 15 | trial  12 | gates= 240 |   43.6s | overall 211/1000
23:46:22 | limit= 15 | trial  13 | gates= 236 |   42.7s | overall 212/1000
23:46:22 | limit= 15 | trial  14 | gates= 242 |   42.3s | overall 213/1000
23:46:23 | limit= 15 | trial  16 | gates= 240 |   42.2s | overall 214/1000
23:46:24 | limit= 15 | trial  15 | gates= 242 |   43.6s | overall 215/1000
23:46:26 | limit= 15 | trial  11 | gates= 242 |   47.5s | overall 216/1000
23:46:28 | limit= 15 | trial  19 | gates= 240 |   42.9s | overall 217/1000
23:46:29 | limit= 15 | trial  17 | gates= 238 |   46.5s | overall 218/1000
23:46:30 | limit= 15 | trial  21 | gates= 242 |   42.3s | overall 219/1000
23:46:31 | limit= 15 | trial  18 | gates= 242 |   47.5s | overall 220/1000
23:46:35 | limit= 15 | trial  20 | gates= 240 |   47.2s | overall 221/1000
23:46:36 | limit= 15 | trial  22 | gates= 240 |   47.6s | overall 222/1000
23:46:38 | limit= 15 | trial  23 | gates= 238 |   47.6s | overall 223/1000
23:46:40 | limit= 15 | trial  24 | gates= 238 |   40.8s | overall 224/1000
23:46:46 | limit= 15 | trial  25 | gates= 238 |   44.5s | overall 225/1000
23:46:48 | limit= 15 | trial  26 | gates= 244 |   45.4s | overall 226/1000
23:46:48 | limit= 15 | trial  28 | gates= 238 |   45.0s | overall 227/1000
23:46:48 | limit= 15 | trial  29 | gates= 238 |   40.6s | overall 228/1000
23:46:49 | limit= 15 | trial  27 | gates= 238 |   46.7s | overall 229/1000
23:46:54 | limit= 15 | trial  31 | gates= 242 |   42.6s | overall 230/1000
23:46:54 | limit= 15 | trial  30 | gates= 238 |   45.9s | overall 231/1000
23:46:55 | limit= 15 | trial  33 | gates= 238 |   42.3s | overall 232/1000
23:46:55 | limit= 15 | trial  32 | gates= 240 |   43.2s | overall 233/1000
23:46:56 | limit= 15 | trial  34 | gates= 242 |   43.0s | overall 234/1000
23:46:56 | limit= 15 | trial  35 | gates= 242 |   42.4s | overall 235/1000
23:46:57 | limit= 15 | trial  36 | gates= 238 |   40.8s | overall 236/1000
23:47:03 | limit= 15 | trial  37 | gates= 240 |   43.2s | overall 237/1000
23:47:04 | limit= 15 | trial  41 | gates= 244 |   41.9s | overall 238/1000
23:47:05 | limit= 15 | trial  42 | gates= 238 |   42.3s | overall 239/1000
23:47:07 | limit= 15 | trial  43 | gates= 240 |   42.7s | overall 240/1000
23:47:07 | limit= 15 | trial  38 | gates= 240 |   45.8s | overall 241/1000
23:47:09 | limit= 15 | trial  45 | gates= 240 |   41.7s | overall 242/1000
23:47:10 | limit= 15 | trial  39 | gates= 238 |   47.7s | overall 243/1000
23:47:10 | limit= 15 | trial  40 | gates= 238 |   47.9s | overall 244/1000
23:47:12 | limit= 15 | trial  46 | gates= 242 |   42.1s | overall 245/1000
23:47:13 | limit= 15 | trial  47 | gates= 238 |   42.9s | overall 246/1000
23:47:13 | limit= 15 | trial  44 | gates= 242 |   47.6s | overall 247/1000
23:47:17 | limit= 15 | trial  49 | gates= 238 |   41.8s | overall 248/1000
23:47:17 | limit= 15 | trial  48 | gates= 240 |   45.6s | overall 249/1000
23:47:23 | limit= 15 | trial  50 | gates= 236 |   46.5s | overall 250/1000
23:47:24 | limit= 15 | trial  52 | gates= 238 |   43.2s | overall 251/1000
23:47:25 | limit= 15 | trial  51 | gates= 240 |   47.6s | overall 252/1000
23:47:29 | limit= 15 | trial  53 | gates= 240 |   43.0s | overall 253/1000
23:47:30 | limit= 15 | trial  56 | gates= 240 |   41.8s | overall 254/1000
23:47:31 | limit= 15 | trial  57 | gates= 240 |   41.5s | overall 255/1000
23:47:35 | limit= 15 | trial  59 | gates= 244 |   40.4s | overall 256/1000
23:47:36 | limit= 15 | trial  54 | gates= 242 |   47.5s | overall 257/1000
23:47:36 | limit= 15 | trial  55 | gates= 236 |   47.4s | overall 258/1000
23:47:37 | limit= 15 | trial  58 | gates= 242 |   42.6s | overall 259/1000
23:47:37 | limit= 15 | trial  60 | gates= 242 |   42.3s | overall 260/1000
23:47:38 | limit= 15 | trial  63 | gates= 238 |   42.2s | overall 261/1000
23:47:38 | limit= 15 | trial  64 | gates= 240 |   41.5s | overall 262/1000
23:47:39 | limit= 15 | trial  61 | gates= 238 |   43.6s | overall 263/1000
23:47:41 | limit= 15 | trial  62 | gates= 240 |   45.0s | overall 264/1000
23:47:48 | limit= 15 | trial  67 | gates= 238 |   42.9s | overall 265/1000
23:47:49 | limit= 15 | trial  69 | gates= 242 |   41.6s | overall 266/1000
23:47:49 | limit= 15 | trial  66 | gates= 240 |   44.7s | overall 267/1000
23:47:50 | limit= 15 | trial  65 | gates= 242 |   47.2s | overall 268/1000
23:47:51 | limit= 15 | trial  70 | gates= 242 |   41.4s | overall 269/1000
23:47:53 | limit= 15 | trial  72 | gates= 240 |   43.4s | overall 270/1000
23:47:54 | limit= 15 | trial  73 | gates= 240 |   42.0s | overall 271/1000
23:47:54 | limit= 15 | trial  68 | gates= 240 |   47.4s | overall 272/1000
23:47:55 | limit= 15 | trial  71 | gates= 240 |   45.0s | overall 273/1000
23:47:58 | limit= 15 | trial  76 | gates= 234 |   41.3s | overall 274/1000
23:48:01 | limit= 15 | trial  74 | gates= 240 |   47.4s | overall 275/1000
23:48:01 | limit= 15 | trial  75 | gates= 238 |   47.6s | overall 276/1000
23:48:02 | limit= 15 | trial  77 | gates= 240 |   45.3s | overall 277/1000
23:48:05 | limit= 15 | trial  78 | gates= 242 |   42.2s | overall 278/1000
23:48:08 | limit= 15 | trial  79 | gates= 240 |   44.1s | overall 279/1000
23:48:11 | limit= 15 | trial  81 | gates= 240 |   42.5s | overall 280/1000
23:48:13 | limit= 15 | trial  80 | gates= 242 |   47.6s | overall 281/1000
23:48:13 | limit= 15 | trial  82 | gates= 240 |   43.0s | overall 282/1000
23:48:13 | limit= 15 | trial  83 | gates= 240 |   42.4s | overall 283/1000
23:48:18 | limit= 15 | trial  84 | gates= 240 |   43.4s | overall 284/1000
23:48:20 | limit= 15 | trial  87 | gates= 240 |   43.8s | overall 285/1000
23:48:21 | limit= 15 | trial  88 | gates= 236 |   43.7s | overall 286/1000
23:48:21 | limit= 15 | trial  90 | gates= 238 |   42.8s | overall 287/1000
23:48:22 | limit= 15 | trial  91 | gates= 244 |   42.6s | overall 288/1000
23:48:22 | limit= 15 | trial  92 | gates= 242 |   41.1s | overall 289/1000
23:48:23 | limit= 15 | trial  85 | gates= 240 |   47.4s | overall 290/1000
23:48:23 | limit= 15 | trial  86 | gates= 240 |   47.4s | overall 291/1000
23:48:24 | limit= 15 | trial  89 | gates= 242 |   45.2s | overall 292/1000
23:48:31 | limit= 15 | trial  93 | gates= 240 |   42.6s | overall 293/1000
23:48:32 | limit= 15 | trial  95 | gates= 238 |   42.8s | overall 294/1000
23:48:32 | limit= 15 | trial  94 | gates= 238 |   43.6s | overall 295/1000
23:48:35 | limit= 15 | trial  97 | gates= 242 |   43.8s | overall 296/1000
23:48:35 | limit= 15 | trial  98 | gates= 234 |   41.7s | overall 297/1000
23:48:37 | limit= 15 | trial  99 | gates= 240 |   42.9s | overall 298/1000
23:48:38 | limit= 20 | trial   1 | gates= 240 |   43.5s | overall 299/1000
23:48:38 | limit= 15 | trial  96 | gates= 242 |   47.8s | overall 300/1000
23:48:39 | limit= 20 | trial   2 | gates= 236 |   40.8s | overall 301/1000
23:48:42 | limit= 15 | trial 100 | gates= 238 |   47.4s | overall 302/1000
23:48:46 | limit= 20 | trial   3 | gates= 238 |   42.5s | overall 303/1000
23:48:46 | limit= 20 | trial   6 | gates= 236 |   40.9s | overall 304/1000
23:48:48 | limit= 20 | trial   4 | gates= 238 |   47.5s | overall 305/1000
23:48:50 | limit= 20 | trial   5 | gates= 238 |   47.6s | overall 306/1000
23:48:51 | limit= 20 | trial   7 | gates= 236 |   43.7s | overall 307/1000
23:48:54 | limit= 20 | trial   8 | gates= 238 |   42.5s | overall 308/1000
23:48:55 | limit= 20 | trial  11 | gates= 236 |   42.0s | overall 309/1000
23:48:56 | limit= 20 | trial  10 | gates= 236 |   42.8s | overall 310/1000
23:48:59 | limit= 20 | trial  12 | gates= 240 |   40.6s | overall 311/1000
23:49:00 | limit= 20 | trial   9 | gates= 240 |   47.4s | overall 312/1000
23:49:03 | limit= 20 | trial  14 | gates= 236 |   42.1s | overall 313/1000
23:49:03 | limit= 20 | trial  17 | gates= 234 |   41.4s | overall 314/1000
23:49:04 | limit= 20 | trial  15 | gates= 240 |   42.3s | overall 315/1000
23:49:04 | limit= 20 | trial  13 | gates= 238 |   43.9s | overall 316/1000
23:49:08 | limit= 20 | trial  18 | gates= 236 |   45.1s | overall 317/1000
23:49:09 | limit= 20 | trial  16 | gates= 240 |   47.5s | overall 318/1000
23:49:10 | limit= 20 | trial  19 | gates= 238 |   47.2s | overall 319/1000
23:49:11 | limit= 20 | trial  20 | gates= 236 |   47.7s | overall 320/1000
23:49:12 | limit= 20 | trial  21 | gates= 236 |   40.8s | overall 321/1000
23:49:15 | limit= 20 | trial  23 | gates= 236 |   42.2s | overall 322/1000
23:49:16 | limit= 20 | trial  22 | gates= 236 |   43.9s | overall 323/1000
23:49:17 | limit= 20 | trial  25 | gates= 236 |   41.5s | overall 324/1000
23:49:18 | limit= 20 | trial  26 | gates= 238 |   41.2s | overall 325/1000
23:49:19 | limit= 20 | trial  24 | gates= 236 |   44.2s | overall 326/1000
23:49:19 | limit= 20 | trial  27 | gates= 234 |   40.7s | overall 327/1000
23:49:23 | limit= 20 | trial  29 | gates= 240 |   44.1s | overall 328/1000
23:49:26 | limit= 20 | trial  28 | gates= 234 |   47.7s | overall 329/1000
23:49:27 | limit= 20 | trial  31 | gates= 238 |   44.2s | overall 330/1000
23:49:28 | limit= 20 | trial  30 | gates= 238 |   46.7s | overall 331/1000
23:49:30 | limit= 20 | trial  32 | gates= 236 |   43.9s | overall 332/1000
23:49:33 | limit= 20 | trial  35 | gates= 236 |   42.0s | overall 333/1000
23:49:34 | limit= 20 | trial  33 | gates= 232 |   45.5s | overall 334/1000
23:49:36 | limit= 20 | trial  37 | gates= 240 |   40.2s | overall 335/1000
23:49:37 | limit= 20 | trial  34 | gates= 236 |   46.6s | overall 336/1000
23:49:37 | limit= 20 | trial  38 | gates= 238 |   40.5s | overall 337/1000
23:49:41 | limit= 20 | trial  36 | gates= 234 |   47.6s | overall 338/1000
23:49:42 | limit= 20 | trial  39 | gates= 236 |   43.2s | overall 339/1000
